kode,nama,link_profil,alamat,kabupaten,kota,provinsi
10609871,SMAS MUHAMMADIYAH PAGAR ALAM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A9C001E-8BE6-4DE1-B00E-90C59C565D84,JL. KOMBES H. UMAR NO. 1123 Basemah Serasan Kec. Pagar Alam Selatan Kota Pagar Alam Prov. Sumatera Selatan,,Kota Pagar Alam,Sumatera Selatan
20532087,SMAS SANTA MARIA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/76A40D5C-C1BD-4369-820A-90C8A90EDB3C,JL. RAYA DARMO 49 Keputran Kec. Tegal Sari Kota Surabaya Prov. Jawa Timur,,Kota Surabaya,Jawa Timur
20540296,SMA KOSGORO 2,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EB795CDD-9D27-4FE6-9F23-90D9DBE4B208,KUDU Kudubanjar Kec. Kudu Kab. Jombang Prov. Jawa Timur,Kab. Jombang,,Jawa Timur
70047860,SMA Evans Indonesia Kota Bangun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66F69542-6D06-47F8-9F21-90DDD8DE8E7E,"Wilayah Estate PT. PMM, Prima Estate Loleng Kec. Kota Bangun Kab. Kutai Kartanegara Prov. Kalimantan Timur",Kab. Kutai Kartanegara,,Kalimantan Timur
69971273,SMA IT AL-KAUTSAR DURI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F839195E-709A-4882-A6AB-90E1410CF52F,Jl. Tegalsari Ujung - Jl. Perintis III R... Air Jamban Kec. Mandau Kab. Bengkalis Prov. Riau,Kab. Bengkalis,,Riau
10504556,SMAS ISLAM AL FALAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DD0F820B-CD5D-4D3E-B247-90E16CB5D18D,JL. HOS COKROAMINOTO Selamat Kec. Danau Sipin Kota Jambi Prov. Jambi,,Kota Jambi,Jambi
60726464,SMAN 1 NAPANO KUSAMBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1B39541-8D28-4BD3-B1EB-90E37F5EC2B4,LAHAJI LAHAJI Kec. Napano Kusambi Kab. Muna Barat Prov. Sulawesi Tenggara,Kab. Muna Barat,,Sulawesi Tenggara
10219920,SMAS JAYA KRAMA BERINGIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EE0329B-00E7-4661-A2ED-90EDAD3D58DB,Jl. Mimbar Umum Psr VI Sidodadi Ramunia Sidodadi Ramunia Kec. Beringin Kab. Deli Serdang Prov. Sumatera Utara,Kab. Deli Serdang,,Sumatera Utara
70005452,SMA Islam Otak Kanan Shalahuddin Al-Ayyubi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/525A0610-F427-4DF3-A845-90FF84D05512,"Jl. Basuki Rahmat, Lrg Nusantara No. 15 ... Tatura Selatan Kec. Palu Selatan Kota Palu Prov. Sulawesi Tengah",,Kota Palu,Sulawesi Tengah
20603158,SMAS ARIF RAHMAN HAKIM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7DE704C1-52CC-480A-B470-910FDACC24EF,JL. TAMAN MAKAM BAHAGIA Perigi Kec. Pondok Aren Kota Tangerang Selatan Prov. Banten,,Kota Tangerang Selatan,Banten
